time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.65525462963,11.481,86.565,0.3,29.044,32.932
27660.65525462963,11.481,86.565,0.8,29.043,32.927
27660.65525462963,11.481,86.565,1.7,29.045,32.935
27660.65525462963,11.481,86.565,2.9,29.044,32.936
27660.65525462963,11.481,86.565,4.3,29.047,32.936
27660.65525462963,11.481,86.565,5.2,29.048,32.935
27660.65525462963,11.481,86.565,6.4,29.047,32.936
27660.65525462963,11.481,86.565,7.4,29.048,32.936
27660.65525462963,11.481,86.565,8.5,29.048,32.937
27660.65525462963,11.481,86.565,9.7,29.05,32.936
27660.65525462963,11.481,86.565,15.4,29.052,32.935
27660.65525462963,11.481,86.565,25.3,29.053,32.935
27660.65525462963,11.481,86.565,35.4,29.056,32.939
27660.65525462963,11.481,86.565,46,29.061,32.954
27660.65525462963,11.481,86.565,54.8,28.733,33.744
27660.65525462963,11.481,86.565,65.6,27.87,34.401
27660.65525462963,11.481,86.565,74.9,26.412,34.58
27660.65525462963,11.481,86.565,85.7,25.346,34.709
27660.65525462963,11.481,86.565,95.3,23.087,34.54
27660.65525462963,11.481,86.565,105.5,21.842,34.716
27660.65525462963,11.481,86.565,115.9,20.711,34.74
27660.65525462963,11.481,86.565,125.6,19.748,34.796
27660.65525462963,11.481,86.565,135.3,18.702,34.811
27660.65525462963,11.481,86.565,145.3,17.673,34.86
27660.65525462963,11.481,86.565,156.3,16.493,34.905
27660.65525462963,11.481,86.565,165.2,15.68,34.915
27660.65525462963,11.481,86.565,175.2,14.874,34.95
27660.65525462963,11.481,86.565,185.5,14.336,34.961
27660.65525462963,11.481,86.565,195.7,13.853,34.97
27660.65525462963,11.481,86.565,212.8,13.248,34.992
27660.65525462963,11.481,86.565,238.2,12.57,35.018
27660.65525462963,11.481,86.565,262.9,12.098,35.022
27660.65525462963,11.481,86.565,287.6,11.668,35.032
27660.65525462963,11.481,86.565,314.1,11.317,35.035
27660.65525462963,11.481,86.565,338.1,11.077,35.037
27660.65525462963,11.481,86.565,362.8,10.845,35.037
27660.65525462963,11.481,86.565,387.8,10.63,35.036
27660.65525462963,11.481,86.565,412.6,10.429,35.035
27660.65525462963,11.481,86.565,437.7,10.187,35.033
27660.65525462963,11.481,86.565,462.9,9.983,35.031
27660.65525462963,11.481,86.565,487.7,9.772,35.027
27660.65525462963,11.481,86.565,512.9,9.595,35.023
27660.65525462963,11.481,86.565,538,9.45,35.02
27660.65525462963,11.481,86.565,562.8,9.273,35.016
27660.65525462963,11.481,86.565,588.4,9.083,35.012
27660.65525462963,11.481,86.565,612.8,8.922,35.008
27660.65525462963,11.481,86.565,637.6,8.775,35.001
27660.65525462963,11.481,86.565,662.8,8.627,34.997
27660.65525462963,11.481,86.565,687.7,8.494,34.993
27660.65525462963,11.481,86.565,712.5,8.331,34.988
27660.65525462963,11.481,86.565,737.6,8.184,34.983
27660.65525462963,11.481,86.565,762.7,8.026,34.979
27660.65525462963,11.481,86.565,787.9,7.862,34.974
27660.65525462963,11.481,86.565,812.5,7.71,34.97
27660.65525462963,11.481,86.565,837.2,7.56,34.965
